RAVE_OBS_ID,Teff,logg,MH,FeH,alphaM,SiFe,AlFe,MgFe,NiFe
20040607_1456m05_027,6261.2603,4.011958,0.0095663,0.010051,0.024059,0.0432293,0.05906925,0.038861398,0.026971545
20040626_2054m02_072,4701.0303,2.357048,0.059725452,0.059438452,-0.027077401,-0.026330002,-0.04532151,-0.035786297,-0.046293903
20040626_2313m03_008,4700.193,2.87085,-0.01786255,-0.02257955,0.089549,0.089749,0.1367765,0.14696869,0.0419501
20040626_2313m03_021,5832.078,4.506825,-0.0059073,-0.0019958,-0.047746003,-0.039192505,-0.046774052,-0.08012,-0.030051554
20040626_2313m03_032,5671.3804,4.3061852,-0.0058318004,-0.014730001,-0.0071841,0.0176112,0.062708244,-0.0114253,0.022771552
20040626_2313m03_033,5382.0283,3.8545845,-0.061053548,-0.07891655,-0.013624001,-0.0170203,0.050923496,0.009817913,0.041461103
20040627_1226m28_100,6182.224,4.055457,0.204271,0.191311,-0.0027748002,0.024480999,0.08550924,-0.018236488,0.03070955
20040627_2159m08_137,4606.8926,2.5249016,-0.31448156,-0.32125154,0.171029,0.18801197,0.25352848,0.2532817,0.07579209
20040628_2216m13_062,5674.081,4.024243,0.23494099,0.216911,-0.00094319973,0.051613286,0.11208923,0.020606488,0.038409546
20040628_2216m13_086,4824.215,3.4887912,0.26516846,0.25618845,-0.018004,0.008229017,0.029498488,0.015411705,0.024632096
20040628_2216m13_095,4565.5283,2.3931885,-0.37235156,-0.38831154,0.216199,0.258292,0.2639095,0.2950717,0.07842207
20040628_2216m13_101,5973.6294,4.4766617,-0.137059,-0.130539,0.040974997,0.010260597,0.07457425,0.031643398,-0.025780454
20040628_2216m13_102,5694.875,4.067204,0.159991,0.148681,0.003804,0.046609297,0.18696927,0.0385205,0.042839557
20040628_2216m13_127,5694.822,4.3828654,0.043383002,0.036419,-0.0013967995,0.005004,0.062071253,0.007057503,0.024751551
20040628_2216m13_132,5515.619,4.566795,-0.290779,-0.290949,0.016529,0.029346496,0.05667925,0.052520484,0.0035395622
20040628_2216m13_133,5864.957,3.7865088,-0.46955153,-0.47126156,0.066809,0.08611202,0.024278522,0.09196773,0.041902095
20040629_1146m01_057,6166.084,4.1797657,0.009094,0.0030967756,-0.0155074,0.020127224,0.002682474,-0.011881275,0.005499773
20040629_1146m01_068,5220.982,4.525563,-0.290049,-0.289949,0.022967001,0.007479012,0.045949265,0.09379451,-0.009670436
20040629_1146m01_074,5689.6787,4.345558,-0.0079270005,-0.015005,-0.035184,-0.068950996,0.14966524,-0.078920506,0.00088554993
20040629_1146m01_075,4991.3096,2.4974315,-0.39526156,-0.40880156,0.070359,0.07253802,0.10426849,0.09944269,0.014792085
20040629_1146m01_077,4701.005,2.5647788,-0.13197155,-0.13984154,0.014435001,0.014332995,0.019871488,0.038378686,0.01328209
20040629_1146m01_107,4511.03,2.3164244,-0.23906155,-0.25326154,0.154889,0.13642198,0.16396348,0.25497168,0.075972095
20040629_1252m05_022,4762.3096,3.152278,0.01158545,0.008112149,0.065446,0.062055305,0.09777479,0.12152499,0.0320154
20040629_1252m05_028,4639.528,2.6549926,0.13168845,0.11517845,-0.010581,-0.009824008,-0.01745151,-0.010178305,0.048842102
20040629_2212m04_073,3729.7505,4.9321685,-0.229909,-0.199919,-0.0049444,-0.084628984,-0.15855072,-0.089988515,-0.26915044
20040629_2212m04_074,4662.1304,2.6164167,-0.33914155,-0.35427156,0.174339,0.15747201,0.2445455,0.2594717,0.09722212
20040629_2212m04_080,6343.2305,4.2104235,-0.226889,-0.211199,0.028500998,0.036149994,-0.090300724,0.066129506,-0.06580047
20040629_2212m04_081,4917.74,3.2012439,-0.045171548,-0.04972855,0.023497999,-0.005293995,0.061285503,0.07550269,0.0457821
20040629_2212m04_088,4802.7227,2.7913313,0.00289465,-0.00442335,0.008921001,0.0031100016,0.0033902952,0.0259027,0.023852898
20040629_2212m04_125,5941.7705,4.20675,0.014781999,0.0069154995,0.0031209998,0.0146395,0.052554756,-0.022202002,0.059365053
20040704_1200m09_008,4581.4927,2.627474,0.23625845,0.21840845,0.0036109984,0.0061919987,-0.0044815093,0.0390857,0.059372082
20040704_1200m09_015,4230.5947,1.8284136,0.00270055,-0.01595955,-0.010442,-2.0898879E-05,-0.059459504,0.0009979997,-0.0325369
20040706_1414m05_102,4621.849,2.2628229,-0.6808916,-0.69084156,0.228359,0.251442,0.23764852,0.2540117,0.1014021
20040706_1414m05_108,4744.8364,2.346092,-0.26200154,-0.28365156,0.205689,0.21359202,0.1931155,0.26685172,0.12314211
20040706_1414m05_115,4842.7188,3.2298915,-0.26279154,-0.28279155,0.135139,0.11432201,0.20782751,0.2591817,0.1006121
20040706_1414m05_120,5924.1685,4.1460342,-0.220649,-0.225609,0.053438,0.091444,0.13634625,0.08123049,0.058189556
20041002_0152m19_045,6213.751,4.4751244,-0.0349,-0.031636998,-0.024868,0.008547999,-0.07451075,-0.047955498,-0.012789749
20041002_0152m19_048,4248.622,4.640496,0.100588,0.105521,-0.059970997,-0.151402,-0.10831375,-0.1851215,-0.0039304495
20041002_0152m19_055,5404.8867,3.9728882,-0.03334455,-0.041279547,0.007829998,-0.0014839992,0.06012649,0.014683699,0.06695309
20041002_0152m19_062,4832.96,4.5289063,-0.222119,-0.199869,0.038948,-0.021613002,-0.03504075,-0.041989505,-0.030130431
20041002_0152m19_071,4813.5376,4.645843,0.044057,0.064352006,0.0032630004,-0.10054401,-0.08882876,-0.067030504,-0.024510454
20041003_0348m29_117,6401.917,4.2677107,-0.27226898,-0.26087898,0.130695,0.138411,0.10217924,0.20644149,-0.06393045
20041130_0523m59_033,5889.582,4.4082775,-0.158019,-0.156569,-0.0175524,-0.004612997,0.027695253,-0.009535506,0.020143554
20041130_0523m59_037,5562.7803,3.8378153,-0.17668155,-0.18540154,0.019037,0.014626995,0.06375549,0.0383057,0.0374721
20041130_0523m59_040,4740.0713,2.760945,-0.38831154,-0.40255156,0.187649,0.17939204,0.2274225,0.27969173,0.1092321
20041130_0523m59_049,5279.24,4.5506063,-0.052477997,-0.048573997,0.013579,0.009213001,0.07007524,0.03657234,0.01773965
20041202_0053m11_008,4760.0864,2.2963722,-1.0322615,-1.0244615,0.261499,0.24166203,-0.0048315525,0.28552175,0.00693202
20041202_0053m11_009,5160.352,4.2273326,0.179171,0.137421,-0.079099,0.060619995,0.049309254,-0.010954499,0.08526957
20041202_0053m11_016,4768.3086,2.8382096,0.03667945,0.030405452,0.0011320002,0.027194997,0.03616149,0.00093939714,0.042765103
20041202_0053m11_020,6065.1855,3.898115,0.086629994,0.087400995,0.018942,0.04577399,0.084669255,0.001280494,0.018309548
20041202_0053m11_028,4770.971,2.393344,-0.24477156,-0.26610154,0.144169,0.15719198,0.15283948,0.19655168,0.079582095
20041202_0053m11_033,4856.307,3.0539322,-0.38215154,-0.39853156,0.199139,0.21010202,0.2864805,0.29681173,0.10062209
20041202_0053m11_044,5871.2563,4.111442,-0.283469,-0.28898898,0.015238,0.016015977,0.09541924,0.044091985,-0.010320455
20041202_0053m11_048,5767.4453,4.309045,-0.102649,-0.116919,-0.041799,-0.070259,0.18629926,-0.015131511,-0.013750456
20041202_0238m05_003,6339.2227,4.119507,-0.27994898,-0.280419,0.073194005,0.09758502,0.04350926,0.094810516,0.07352954
20041202_0238m05_021,6371.664,4.318137,0.021886999,0.027147999,-0.0046225,-0.006263001,-0.014395751,-0.023597501,-0.016336448
20041221_0427m63_072,4962.2456,3.1397347,-0.13512155,-0.13561155,0.0057419986,0.008200988,0.02296549,0.021471694,-0.0066478997
20041221_0427m63_074,4403.162,1.854579,-0.38016155,-0.38372156,0.064197,0.09264201,0.1164085,0.09299171,0.022342086
20041221_0427m63_086,6156.078,4.2726274,-0.131089,-0.134379,0.017023,0.042386994,0.042171247,0.042465493,0.036397547
20041221_0523m59_028,5682.97,4.3679447,0.130391,0.123631,-0.0055048,0.042942002,0.06259924,0.017370492,0.045739546
20041221_0523m59_030,4329.9985,1.3383657,-1.1646615,-1.1614616,0.183109,0.26248205,-0.12067139,0.1973418,-0.011567831
20041221_0523m59_032,6590.888,4.4288783,0.044273,0.027307002,0.025468001,0.117654,0.01134125,0.11519849,-0.07997445
20041221_0523m59_119,6209.057,4.142133,-0.206309,-0.207359,-0.028074,-0.06546901,0.17066775,0.040507898,0.0017495453
20041221_0614m68_016,6559.861,3.864662,-0.030114,-0.029949,0.054798,0.103859,-0.07440575,0.076424494,-0.04347045
20041221_0614m68_028,5685.75,4.402029,-0.213769,-0.205969,0.016039,0.0043390095,0.09955225,0.070967495,0.02122955
20041221_0614m68_035,4916.6865,2.6965368,-0.072208546,-0.09933855,-0.0050720014,0.008525997,-0.020746507,0.0128102,-0.023050904
20041221_0614m68_038,6399.2793,3.9611297,-0.17333901,-0.173049,0.103575,0.094766,0.03302425,0.1628715,0.039051548
20041221_0614m68_128,4787.5293,2.4599085,-0.02835555,-0.04188455,0.009353001,0.033216998,0.017361498,0.037347697,0.014858099
20041221_0614m68_134,6172.263,4.4061337,0.154021,0.145861,-0.032752,0.008439988,0.021459252,-0.050469503,0.021809563
20041221_0614m68_136,4384.051,2.1848319,0.22829846,0.22142845,0.012199,-0.022040606,0.007758498,0.04430169,-0.037407905
20041221_0614m68_143,4761.615,2.7428517,-0.00731255,-0.01886755,0.000928998,0.012963,-0.015675506,0.0025310796,-0.014026901
20041222_0517m65_005,4868.3,2.775456,-0.22228155,-0.22818154,0.050938003,0.044196993,0.11494049,0.09626369,0.023202091
20041222_0517m65_014,5989.378,4.115813,-0.01129,-0.010599,-0.0127301,0.032115698,0.03875225,-0.012012498,-0.0054724496
20041222_0517m65_016,4711.778,2.4742494,0.10191845,0.082888454,0.024138,0.061405003,-0.023901507,0.033496693,0.026472107
20041222_0517m65_027,4294.1714,1.8551735,-0.11137155,-0.12340155,0.038650997,0.029303998,0.008939497,0.0630747,-0.0009479001
20041229_0403m68_007,5676.5615,4.147799,-0.062929004,-0.066559,0.063154005,0.040379997,0.13953926,0.11830649,-0.022608452
20041229_0403m68_081,4747.5396,2.6669977,-0.10606155,-0.12037155,0.035646,0.056785002,0.0799985,0.043452702,0.007817104
20041229_0403m68_085,5261.4966,4.265614,0.240601,0.202641,-0.031898,0.114911,0.09440924,0.010767505,0.13451953
20041229_0403m68_088,5873.5176,4.22997,0.18055099,0.173271,-0.043413997,0.00766699,0.06713925,-0.031410515,0.074399546
20041229_0403m68_093,6543.3335,4.122864,-0.363049,-0.389159,0.090785004,0.109218,-0.045640737,0.2088815,-0.04175043
20041229_0403m68_148,4296.0728,1.8156421,-0.55117154,-0.5598515,0.245629,0.28056198,0.24505848,0.3195317,0.08232206
20041229_0609m80_056,6138.19,3.9406796,0.130211,0.13114099,0.0012229998,0.07221301,0.12533928,0.019082502,0.00092956424
20041229_0609m80_061,5440.176,4.4936743,0.158991,0.156341,-0.030467,-0.034512006,-0.003700748,-0.022267506,0.004099548
20041229_0609m80_062,5426.438,4.08351,0.023395,0.018182,0.065494,0.0376169,0.22052824,0.1493445,0.038397543
20041229_0609m80_110,4807.2544,3.18207,0.16774845,0.16209845,-0.002208002,-0.0008880049,0.0561385,0.0052684993,0.024412096
20041229_0614m68_028,6204.683,4.0709867,-0.15980901,-0.170579,0.065997005,0.06475999,0.05127725,0.13807449,0.0041395426
20041229_0614m68_124,6240.4346,3.8737583,0.089398995,0.077694,0.029457001,0.074467,0.097956255,0.0706135,0.04648655
20041229_0614m68_129,6554.5127,4.376884,-0.076616004,-0.098189004,0.030806,0.025936998,0.06559155,0.1322695,-0.003637448
20041229_0614m68_143,6116.815,3.9468484,0.059536003,0.049771003,-0.0039784,0.038663,0.07566927,-0.019883499,0.019329555
20041231_0517m65_026,4668.9077,2.362435,0.09160445,0.076568455,0.019364998,0.046164,0.043188483,0.0524247,0.0187421
20041231_0517m65_050,6076.427,4.4124575,-0.097749,-0.102059,-0.015048999,0.009852998,0.013985246,-0.011864506,0.03545855
20041231_0517m65_061,6523.3003,4.2242327,-0.125999,-0.133359,0.060005,0.090367,-0.03396076,0.1273875,-0.07444045
20050121_0440m58_127,4925.89,4.589998,0.27338102,0.262521,-0.029966,-0.037042975,0.040589273,0.005690515,0.061189562
20050121_0503m71_054,4485.7354,2.4469664,0.32222846,0.30971846,0.017115,0.03346899,0.022008479,0.07173571,0.04660207
20050121_0503m71_059,6191.346,4.002653,0.061184,0.053959,0.021321,0.029711101,0.10328124,0.053560894,-0.0017334521
20050121_0503m71_065,4648.7173,2.5943296,-0.22595155,-0.23738155,0.10147899,0.12515199,0.18991849,0.1378617,0.0549621
20050121_0503m71_072,6372.099,4.313096,-0.197129,-0.214539,0.104955,0.21528101,0.05631925,0.19937152,0.024299562
20050121_0503m71_076,4988.522,4.59343,0.088152,0.088401,-0.00986808,-0.015741996,0.052729256,0.022588499,0.013989553
20050121_0503m71_080,4472.5264,2.0619707,-0.27172154,-0.29932156,0.162789,0.20280203,0.24572551,0.24359171,0.08392212
20050121_0503m71_083,5869.9077,4.431623,0.219501,0.196751,-0.028677,0.013537005,0.16388923,-0.053138494,0.071929574
20050121_0503m71_088,5261.323,4.6133137,0.064765,0.070154995,-0.017982699,-0.07307399,-0.03083475,-0.0391595,-0.041570447
20050121_0503m71_096,6007.875,4.4246492,-0.057320997,-0.060527,-0.00075899996,0.028711472,0.03771225,-0.0005274974,0.04221155
20050121_0503m71_097,5872.8306,4.034803,-0.022555001,-0.029220002,-0.0018790001,0.009169001,0.12012024,0.015935501,0.035509553
20050128_0609m80_056,4710.85,2.604009,-0.21754155,-0.21756154,0.055262998,0.039078996,0.085013494,0.0871197,0.002222091
20050128_0609m80_058,4832.57,2.4635708,-0.02952255,-0.054158553,0.006058,0.057153005,-0.034731507,0.006844703,0.0143691
20050128_0615m74_007,4998.513,3.3536882,-0.00963255,-0.01960755,-0.00275,0.004394999,0.03475449,0.0183787,0.005100998
20050128_0615m74_021,4549.9873,2.2624083,-0.14683154,-0.15758155,0.026276998,0.045623012,0.0440515,0.041168712,-0.012357891
20050128_0615m74_039,4741.263,2.6218498,-0.25698155,-0.26445153,0.06268,0.07002199,0.083545476,0.06740269,0.016192093
20050128_0615m74_053,5916.318,4.3139176,0.14288099,0.139631,-0.0190247,-0.01663801,0.09680925,-0.028098516,0.03389953
20050128_0615m74_061,6343.563,4.1346564,-0.195389,-0.195969,0.071978,0.081686996,0.019469246,0.1105755,-0.005030453
20050128_0615m74_062,4998.24,2.6110885,-0.05701355,-0.07082955,0.015255,0.034308,0.0997565,0.060022697,-0.0038428977
20050128_0615m74_064,6263.5576,3.9945707,-0.093801,-0.10071901,0.053165004,0.085824005,0.11055225,0.0736225,-0.052710444
20050128_0615m74_066,4970.893,2.4487097,-0.42838156,-0.44798154,0.23372899,0.23493198,0.36816847,0.3225917,0.039332062
20050128_0615m74_067,5506.885,4.458505,-0.047170997,-0.046455998,-0.025557999,-0.030958999,0.012944251,-0.021500494,-0.0044414513
20050128_0615m74_072,6450.939,3.9798713,0.0014762,-0.010681,0.019055,0.0584712,0.015824249,0.060710296,-0.01592045
20050128_0615m74_078,5668.788,4.2547646,-0.242929,-0.258959,0.152605,0.12797299,0.28052223,0.26952153,0.05762954
20050128_0615m74_079,6232.109,4.0492435,-0.021858001,-0.038939998,0.0021940004,0.024738995,-0.005971454,0.1307675,-0.027386457
20050128_0615m74_081,4709.904,2.3820586,-0.13130155,-0.15297155,0.147429,0.168142,0.1725685,0.2307317,0.056627095
20050128_0615m74_097,6271.453,3.7822728,-0.06606555,-0.056690548,0.006954998,-0.021244,0.013687495,0.050582696,0.06287509
20050128_0615m74_100,3879.8196,0.80272055,-0.8002316,-0.79621154,0.23679899,0.18785197,-0.10242146,0.33616167,0.06903207
20050128_0615m74_101,6045.4966,4.576975,-0.015198,-0.016864,-0.053285003,-0.069226,-0.09371275,-0.048162498,-0.02859565
20050128_0615m74_140,5910.3467,4.5459585,-0.82570904,-0.84883904,0.221895,0.286591,0.20893925,0.33505148,0.079069614
20050128_0615m74_142,5812.04,3.9615707,0.177491,0.163131,0.032995,0.10970801,0.16362923,0.042528495,0.05653955
20050128_0615m74_146,4333.624,1.737776,-0.50324154,-0.51391155,0.071549,0.10425201,0.0577285,0.0974437,0.025532097
20050130_0516m37_006,4986.9814,3.4743657,-0.14927155,-0.15555155,0.037185997,0.006741002,0.0816655,0.087056704,-0.0041078925
20050130_0516m37_007,6054.111,4.3692646,-0.014071001,-0.016455,-0.030145,-0.011887999,-0.014992552,-0.034948498,-0.009413451
20050131_0615m74_006,6000.2104,4.2622247,0.051674,0.043860003,-0.0017462,0.030581899,-0.027688753,-0.017481506,0.08107055
20050131_0615m74_007,4869.2026,3.006087,-0.28475153,-0.29527155,0.024586,0.04271701,0.1511221,0.045196712,0.059302106
20050131_0615m74_014,5657.706,4.21321,0.082472995,0.078441,-0.012101,0.0020679906,0.10383924,-0.004970506,0.003169544
20050131_0615m74_028,5714.183,4.417044,-0.086975,-0.093232006,-0.008108,0.017932005,0.02103725,0.011209503,0.034076557
20050131_0615m74_043,6072.6553,4.267029,-0.057088997,-0.057944,-0.00037899986,0.019498702,0.02408605,-0.035539493,-0.089005455
20050131_0615m74_044,4974.8706,3.2644744,-0.12030154,-0.12484154,0.012915999,-0.0029840022,0.06645949,0.056986697,0.034413084
20050131_0615m74_051,6020.3096,4.301284,0.094285995,0.091029994,-0.0158023,0.019090801,0.02031026,-0.0470315,0.02088055
20050131_0615m74_053,5971.7905,4.1914663,0.054832,0.055338003,-0.0035656998,-0.015407003,0.03623224,-0.045253504,0.013202555
20050131_0615m74_054,5087.1963,4.442476,-0.009723,-0.010401,0.013127001,0.0036090007,0.08224125,0.078144506,-0.0035534492
20050131_0615m74_056,4866.3623,2.4246836,-0.16455154,-0.17252155,0.025321998,0.057892002,0.10611849,0.0343197,0.008802101
20050131_0615m74_057,6156.2163,3.8004158,-0.01701655,-0.031378552,-0.0023600012,0.015807,-0.0024344996,0.0511527,0.0565051
20050131_0615m74_062,4726.9204,2.4251196,-0.60173154,-0.61741155,0.226469,0.258332,0.2612685,0.30192173,0.06614208
20050131_0615m74_065,5756.0845,4.0640583,-0.171849,-0.185789,0.037147,0.06882901,0.15013145,0.09432751,0.071445554
20050131_0615m74_068,6027.043,4.219493,-0.083897,-0.091978,-0.0140077,0.040690597,0.07838625,-0.0041275024,-0.013388455
20050131_0615m74_077,4015.3252,1.3222167,-0.37228155,-0.38453156,0.212859,0.189542,0.2090075,0.2910717,0.06516209
20050131_0615m74_082,4855.032,2.8386054,-0.12281155,-0.12419155,0.010883,0.031946994,0.010890491,0.032108694,0.002112098
20050131_0615m74_103,4445.4785,1.7283114,-1.0612615,-1.0565616,0.237009,0.28820205,-0.08039141,0.28332174,0.042062163
20050131_0615m74_107,4579.3447,2.3375862,0.30096844,0.28167844,-0.0032590013,0.02331999,-0.0055415034,0.055625707,0.027562112
20050131_0615m74_133,6332.442,4.2328663,0.151601,0.142511,0.0055439994,0.026204407,0.054659247,-0.019646496,0.024769545
20050131_0615m74_138,5150.2886,4.5517483,0.065145,0.067398995,-0.008275799,0.007276006,0.09330125,0.045414,0.034591556
20050131_0615m74_147,5549.7,4.59778,-0.159629,-0.160979,0.040087,0.004507005,0.12839285,0.1043605,-0.00017045438
20050221_1042m11_064,6431.9326,4.058333,-0.008802,-0.016537,0.026747001,0.006428998,0.063455254,0.037185498,-0.031657048
20050221_1042m11_066,4802.961,2.9567962,-0.18464155,-0.19752155,0.058431998,0.040778995,0.0730535,0.10693169,0.026712105
20050221_1042m11_068,6203.7427,4.146857,-0.071652,-0.074189,0.011879999,0.035364397,0.058197245,0.008530498,0.06573455
20050221_1042m11_083,4132.0107,1.4955506,-0.43276155,-0.44387156,0.199439,0.16919202,0.18534851,0.2515817,0.0679521
20050221_1042m11_100,4830.8823,2.474479,-0.02932855,-0.049932547,0.031554,0.052945003,0.0390295,-0.020248301,0.008087099
20050221_1042m11_101,6520.5825,3.914321,0.117461,0.081617,0.10944501,0.127621,0.13840325,0.29536548,0.07995354
20050221_1042m11_110,4684.183,2.440692,-0.31742156,-0.32822156,0.059261,0.060588002,0.08506051,0.0850407,0.043012112
20050221_1138m13_088,4648.3506,2.386583,0.06590045,0.05168645,0.014256999,0.028550997,-0.006589502,0.008824602,0.032012105
20050221_1138m13_115,4632.4204,2.5017185,-0.037012547,-0.05749555,-0.012925001,0.016721003,-0.035004504,-0.0047902986,0.004634101
20050221_1138m13_129,6306.7,4.3220215,-0.174619,-0.180049,0.022935001,0.011448994,0.07253725,0.044782802,0.0046595484
20050226_0432m76_103,5595.6206,4.4365697,-0.121409,-0.125349,0.008083001,-0.026606992,0.054573245,0.0429077,-0.0012804568
20050226_0432m76_110,4260.6177,1.673857,-0.41187155,-0.41379154,0.167539,0.15843198,0.15292847,0.22716168,0.020492077
20050226_0432m76_112,4768.086,2.3543293,-0.32408154,-0.33714154,0.179659,0.20007199,0.20480749,0.2487617,0.0753921
20050226_0432m76_114,5746.845,4.067371,-0.329969,-0.337699,0.043843,0.07346201,0.14646927,0.10392551,-0.014620423
20050226_0432m76_117,5881.882,4.351144,-0.358349,-0.37422898,0.081978,0.10159498,0.11102927,0.15795149,0.10433954
20050226_0432m76_121,5644.5073,4.0620875,0.103811,0.086099,0.0072789993,0.039929897,0.06779125,0.007071495,0.008531548
20050227_0609m80_061,6139.0776,4.411897,-0.00014000013,-0.0050333003,-0.0169855,0.011937301,0.009256548,-0.0031202016,0.008394851
20050227_0609m80_062,4824.1035,2.4928312,-0.38767156,-0.42867154,0.164259,0.19465199,0.14148849,0.20823167,0.11878207
20050321_0503m71_023,4379.7134,1.8712502,-0.27610156,-0.28257155,0.050109,0.055002987,0.060968503,0.09145069,0.024202108
20050321_0503m71_037,5772.5103,4.235868,0.107641,0.105351,-0.0013990002,0.016748995,0.03183925,0.008718491,0.045319542
20050321_0503m71_039,5947.4355,3.8155904,-0.27129155,-0.27156156,0.019265,-0.0035719872,0.020108521,0.07514772,0.08407211
20050321_0503m71_040,6072.4546,4.3457646,0.079945,0.0778,-0.0125207,-0.0010799989,0.08999025,-0.007119499,0.060340546
20050321_0503m71_043,6638.868,3.8670738,0.013637,0.0026618997,0.145935,0.16213611,0.015230351,0.27887657,-0.016618349
20050321_0503m71_045,6693.3677,4.5687103,0.157181,0.151251,-0.0043106,0.041848987,-0.10048476,0.061664492,-0.030880459
20050321_0503m71_051,4622.671,2.5441728,-0.34447154,-0.35683155,0.229169,0.248622,0.2629115,0.35226172,0.0899421
20050321_0503m71_057,6090.0005,4.36976,0.103721,0.100369,-0.0058167,0.0199107,0.0014512464,-0.044526502,0.044641547
20050321_0503m71_059,5218.5903,3.6513896,0.02381545,0.0041434504,-0.0385668,-0.030939002,0.0073734913,-0.051456302,0.041444097
20050321_0503m71_072,4097.384,1.40325,-0.27541155,-0.28742155,0.065477,0.05751401,0.0616035,0.09540771,0.011242092
20050321_0503m71_075,6172.912,4.0555553,-0.154769,-0.166519,0.022052,0.08004,0.047081247,0.080465496,-0.014930457
20050321_0503m71_087,5341.9404,3.9272568,0.01034875,0.00558735,-0.007014001,-0.030881898,0.0694296,0.0042906,0.0558252
20050321_0503m71_092,5894.8975,4.130653,-0.195519,-0.203719,0.028697,0.032394096,0.12597924,0.068775505,0.005769551
20050321_0503m71_111,4900.2983,2.4015355,-0.38359156,-0.39859155,0.037752002,0.07029697,0.13836849,0.091104686,0.0361121
20050321_0503m71_129,6175.469,4.3608174,-0.009893,-0.016974,-0.0057889,0.034540102,0.03338525,0.001366498,0.022998549
20050321_0503m71_132,6166.995,4.3763404,0.0084526,0.0106096,-0.0081947,0.013269001,-0.012249352,-0.0227375,-0.027592048
20050321_0503m71_138,6278.8467,4.4580026,-0.141289,-0.144089,0.009168999,0.027361304,0.017724246,0.0272545,-0.012570456
20050321_0503m71_147,4653.6934,2.491409,-0.019791551,-0.02514155,0.020734001,0.018421998,-0.011921504,0.030108698,0.028540099
20050321_1058m07_082,4822.3057,3.0011191,0.10099845,0.08608145,0.006499,0.021678,-0.009154506,0.031157702,0.051789097
20050321_1058m07_099,6143.5244,4.4394665,0.075725,0.079023995,-0.050403997,-0.065928996,-0.12115915,-0.0812775,-0.026057445
